0.134 -0.08589713 -0.00460886
0.135 -0.08590832 -0.00460918
0.136 -0.08591957 -0.00460951
0.137 -0.08593085 -0.00460983
0.138 -0.08594219 -0.00461016
0.139 -0.08595356 -0.00461049
0.140 -0.08596499 -0.00461082
0.141 -0.08597645 -0.00461115
0.142 -0.08598796 -0.00461149
0.143 -0.08599950 -0.00461183
0.144 -0.08601109 -0.00461216
0.145 -0.08602272 -0.00461250
0.146 -0.08603438 -0.00461285
0.147 -0.08604608 -0.00461319
0.148 -0.08605782 -0.00461353
0.149 -0.08606960 -0.00461388
0.150 -0.08608140 -0.00461423
0.151 -0.08609325 -0.00461458
0.152 -0.08610512 -0.00461493
0.153 -0.08611703 -0.00461528
0.154 -0.08612896 -0.00461563
0.155 -0.08614093 -0.00461599
0.156 -0.08615292 -0.00461634
0.157 -0.08616495 -0.00461670
0.158 -0.08617699 -0.00461706
0.159 -0.08618907 -0.00461742
0.160 -0.08620117 -0.00461778
0.161 -0.08621329 -0.00461815
0.162 -0.08622543 -0.00461851
0.163 -0.08623759 -0.00461888
0.164 -0.08624978 -0.00461925
0.165 -0.08626198 -0.00461961
0.166 -0.08627420 -0.00461998
0.167 -0.08628644 -0.00462036
0.168 -0.08629869 -0.00462073
0.169 -0.08631096 -0.00462110
0.170 -0.08632324 -0.00462148
0.171 -0.08633554 -0.00462185
0.172 -0.08634784 -0.00462223
0.173 -0.08636015 -0.00462261
0.174 -0.08637248 -0.00462299
0.175 -0.08638480 -0.00462337
0.176 -0.08639714 -0.00462375
0.177 -0.08640948 -0.00462413
0.178 -0.08642182 -0.00462452
0.179 -0.08643417 -0.00462490
0.180 -0.08644652 -0.00462529
0.181 -0.08645886 -0.00462567
0.182 -0.08647121 -0.00462606
0.183 -0.08648355 -0.00462645
0.184 -0.08649589 -0.00462684
0.185 -0.08650823 -0.00462723
0.186 -0.08652055 -0.00462762
0.187 -0.08653287 -0.00462801
0.188 -0.08654518 -0.00462840
0.189 -0.08655748 -0.00462880
0.190 -0.08656977 -0.00462919
0.191 -0.08658204 -0.00462959
0.192 -0.08659430 -0.00462998
0.193 -0.08660654 -0.00463038
0.194 -0.08661876 -0.00463078
0.195 -0.08663097 -0.00463117
0.196 -0.08664315 -0.00463157
0.197 -0.08665532 -0.00463197
0.198 -0.08666746 -0.00463237
0.199 -0.08667957 -0.00463277
0.200 -0.08669166 -0.00463317
0.201 -0.08670372 -0.00463357
0.202 -0.08671575 -0.00463397
0.203 -0.08672775 -0.00463438
0.204 -0.08673972 -0.00463478
0.205 -0.08675165 -0.00463518
0.206 -0.08676355 -0.00463558
0.207 -0.08677541 -0.00463599
0.208 -0.08678723 -0.00463639
0.209 -0.08679901 -0.00463680
0.210 -0.08681075 -0.00463720
0.211 -0.08682245 -0.00463761
0.212 -0.08683410 -0.00463801
0.213 -0.08684571 -0.00463842
0.214 -0.08685726 -0.00463882
0.215 -0.08686877 -0.00463923
0.216 -0.08688022 -0.00463963
0.217 -0.08689162 -0.00464004
0.218 -0.08690297 -0.00464044
0.219 -0.08691425 -0.00464085
0.220 -0.08692548 -0.00464125
0.221 -0.08693665 -0.00464166
0.222 -0.08694776 -0.00464206
0.223 -0.08695880 -0.00464247
0.224 -0.08696978 -0.00464287
0.225 -0.08698069 -0.00464328
0.226 -0.08699152 -0.00464368
0.227 -0.08700229 -0.00464409
0.228 -0.08701299 -0.00464449
0.229 -0.08702361 -0.00464490
0.230 -0.08703415 -0.00464530
0.231 -0.08704461 -0.00464570
0.232 -0.08705500 -0.00464611
0.233 -0.08706530 -0.00464651
0.234 -0.08707551 -0.00464691
0.235 -0.08708564 -0.00464731
0.236 -0.08709568 -0.00464772
0.237 -0.08710563 -0.00464812
0.238 -0.08711549 -0.00464852
0.239 -0.08712525 -0.00464892
0.240 -0.08713492 -0.00464931
0.241 -0.08714448 -0.00464971
0.242 -0.08715395 -0.00465011
0.243 -0.08716331 -0.00465051
0.244 -0.08717257 -0.00465090
0.245 -0.08718172 -0.00465130
0.246 -0.08719076 -0.00465169
0.247 -0.08719970 -0.00465209
0.248 -0.08720851 -0.00465248
0.249 -0.08721721 -0.00465287
0.250 -0.08722580 -0.00465326
0.251 -0.08723426 -0.00465365
0.252 -0.08724260 -0.00465404
0.253 -0.08725082 -0.00465443
0.254 -0.08725891 -0.00465481
