0.172 0.00190619 -0.05013999 1.02329627
0.173 0.00192802 -0.05012842 1.02328443
0.174 0.00194996 -0.05011679 1.02327253
0.175 0.00197203 -0.05010509 1.02326056
0.176 0.00199421 -0.05009332 1.02324852
0.177 0.00201650 -0.05008150 1.02323642
0.178 0.00203892 -0.05006961 1.02322425
0.179 0.00206145 -0.05005765 1.02321202
0.180 0.00208409 -0.05004563 1.02319972
0.181 0.00210686 -0.05003354 1.02318735
0.182 0.00212973 -0.05002139 1.02317492
0.183 0.00215273 -0.05000918 1.02316243
0.184 0.00217584 -0.04999690 1.02314986
0.185 0.00219906 -0.04998456 1.02313724
0.186 0.00222240 -0.04997216 1.02312454
0.187 0.00224586 -0.04995969 1.02311179
0.188 0.00226943 -0.04994715 1.02309896
0.189 0.00229311 -0.04993456 1.02308607
0.190 0.00231691 -0.04992189 1.02307312
0.191 0.00234083 -0.04990917 1.02306010
0.192 0.00236486 -0.04989638 1.02304702
0.193 0.00238900 -0.04988353 1.02303387
0.194 0.00241325 -0.04987061 1.02302065
0.195 0.00243762 -0.04985763 1.02300738
0.196 0.00246211 -0.04984459 1.02299403
0.197 0.00248670 -0.04983148 1.02298062
0.198 0.00251141 -0.04981831 1.02296715
0.199 0.00253623 -0.04980507 1.02295361
0.200 0.00256117 -0.04979178 1.02294001
0.201 0.00258622 -0.04977841 1.02292634
0.202 0.00261138 -0.04976499 1.02291261
0.203 0.00263665 -0.04975150 1.02289881
0.204 0.00266203 -0.04973795 1.02288495
0.205 0.00268753 -0.04972434 1.02287102
0.206 0.00271314 -0.04971066 1.02285703
0.207 0.00273885 -0.04969692 1.02284298
0.208 0.00276468 -0.04968311 1.02282886
0.209 0.00279063 -0.04966925 1.02281468
0.210 0.00281668 -0.04965532 1.02280043
0.211 0.00284284 -0.04964133 1.02278612
0.212 0.00286911 -0.04962727 1.02277174
0.213 0.00289550 -0.04961315 1.02275730
0.214 0.00292199 -0.04959897 1.02274280
0.215 0.00294859 -0.04958473 1.02272823
0.216 0.00297531 -0.04957042 1.02271360
0.217 0.00300213 -0.04955606 1.02269891
0.218 0.00302906 -0.04954162 1.02268415
0.219 0.00305610 -0.04952713 1.02266933
0.220 0.00308325 -0.04951258 1.02265444
0.221 0.00311051 -0.04949796 1.02263949
0.222 0.00313788 -0.04948328 1.02262448
0.223 0.00316535 -0.04946853 1.02260940
0.224 0.00319293 -0.04945373 1.02259426
0.225 0.00322062 -0.04943886 1.02257906
0.226 0.00324842 -0.04942393 1.02256380
0.227 0.00327633 -0.04940894 1.02254847
0.228 0.00330434 -0.04939389 1.02253307
0.229 0.00333246 -0.04937877 1.02251762
0.230 0.00336069 -0.04936360 1.02250210
0.231 0.00338902 -0.04934836 1.02248652
0.232 0.00341746 -0.04933306 1.02247088
0.233 0.00344600 -0.04931770 1.02245517
0.234 0.00347466 -0.04930227 1.02243940
0.235 0.00350341 -0.04928679 1.02242357
0.236 0.00353228 -0.04927124 1.02240767
0.237 0.00356124 -0.04925563 1.02239171
0.238 0.00359032 -0.04923996 1.02237569
0.239 0.00361949 -0.04922423 1.02235961
0.240 0.00364878 -0.04920844 1.02234347
0.241 0.00367816 -0.04919259 1.02232726
0.242 0.00370765 -0.04917667 1.02231099
0.243 0.00373725 -0.04916070 1.02229466
0.244 0.00376695 -0.04914466 1.02227826
0.245 0.00379675 -0.04912856 1.02226181
0.246 0.00382665 -0.04911241 1.02224529
0.247 0.00385666 -0.04909619 1.02222871
0.248 0.00388677 -0.04907991 1.02221207
0.249 0.00391699 -0.04906356 1.02219536
0.250 0.00394730 -0.04904716 1.02217860
0.251 0.00397772 -0.04903070 1.02216177
0.252 0.00400824 -0.04901418 1.02214488
0.253 0.00403886 -0.04899760 1.02212793
0.254 0.00406958 -0.04898095 1.02211092
0.255 0.00410041 -0.04896425 1.02209385
0.256 0.00413133 -0.04894748 1.02207671
